,match_id,first_to_serve,home_team_seed,away_team_seed,custom_id,winner_code,default_period_count,start_datetime,match_slug,final_result_only
4611,12313742,2,,,ILEszNod,1,3,1715177400,guercio-descotte,False
4612,12313743,1,,,WTjdsLLpd,2,3,1715167800,bajraliu-taraba-wallberg,True
4613,12313744,1,,,cKecsdQSc,2,3,1715196300,mouilleron-salvo-barreiros-reyes,True
4614,12313745,1,,,gRAsRLdg,1,3,1715173200,cengiz-cabaj-awad,True
4615,12313746,1,,,oiicmCOic,2,3,1715180400,salazar-farjat,False
4616,12313747,1,,,XxUsCTjd,2,3,1715152500,bergkvist-larsson-samir,True
4617,12313748,2,,,cfXbsMqoc,1,3,1715183700,karakachian-brown,False
4618,12313749,1,,,nYNsGgTb,2,3,1715153400,helmi-ostlund,False
4619,12313750,1,,,lyMbqflb,1,3,1715171100,helgo-fetecau,True
4620,12313751,2,,,EbQsLoHd,2,3,1715198700,valente-uchida,False
4621,12313758,1,,,GkYtsiCld,2,3,1715159700,gulin-fernandez-flores,True
4622,12313759,,,,WYLbsRBbc,,3,1715148000,ionel-marti-pujolras,False
4623,12313760,1,,,ksIbsYYLb,2,3,1715172900,martin-tiffon-braynin,True
4624,12313761,1,,,qdwbsGuOb,1,3,1715175600,de-krom-beauge,True
4625,12313762,1,,,NWcdshbGd,1,3,1715154300,stephens-rabinad-vila,False
4626,12313763,1,,,lAosLpeb,2,3,1715181000,benchetrit-collarini,True
4627,12313840,2,,,JYZsUqhs,2,3,1715144400,arutiunian-lomakin,False
4628,12314722,1,,,kUvbsBwxc,1,3,1715155200,refaat-amos,False
4629,12314723,2,,,xoYsEJpd,2,3,1715163300,gupta-alhussein-abdel-aziz,True
4630,12314724,2,,,kRBcsmpUn,2,3,1715162400,dadoun-zhang,True
4631,12314725,1,,,NBnbsXQmb,2,3,1715149800,jiayu-xu-lee,False
4632,12314726,1,,,xQicswepc,1,3,1715164800,xiao-wang,True
4633,12314727,1,,,azLbsDicc,2,3,1715160600,back-jiaying-he,True
4634,12314728,1,,,xtJbsrmad,1,3,1715174100,van-zyl-kubareva,False
4635,12314840,2,,,CKGsJijd,2,3,1715165100,fondriest-madarasz,False
4636,12314841,1,,,OvLpsXWpd,1,3,1715166300,brunclik-brkic,False
4637,12314842,1,,,PExcmWTUc,1,3,1715162400,faucon-cerny-matyas,False
4638,12314843,2,,,VYZbsOYkd,1,3,1715162700,smoliner-marmousez,True
4639,12314844,1,,,awLbskGHc,2,3,1715162400,kupcic-gloeckler,True
4640,12314845,2,,,HuBsOkqc,2,3,1715171400,fellin-paz,False
4641,12314846,2,,,CjucsWvYc,2,3,1715167200,sakellaridis-carnevalle,True
4642,12314847,1,,,AhLbsdPLc,1,3,1715164200,karol-baiant,True
4643,12315069,1,,,BqdcsjgMd,1,3,1715166000,marosik-vankan,True
4644,12315070,1,,,rgPsXDmi,2,3,1715145000,alcala-gurri-turker,True
4645,12315071,1,,,StfdsEJpd,2,3,1715155800,agwi-molder,False
4646,12315072,2,,,jFKlsGZKc,1,3,1715148900,mikhailova-yoruk-i,False
4647,12315073,1,,,yWfsUQIj,1,3,1715160000,wiedenmann-gabashvili,False
4648,12315074,2,,,YEmcsuQfd,2,3,1715146500,casanova-garcia-mestre,True
4649,12315075,1,,,JhzsPBed,1,3,1715160900,dinev-maamoun,True
4650,12315076,2,,,IObwstbod,1,3,1715164200,martinez-solis-baidaulet,True
4651,12315077,2,,,llYdsxKIc,2,3,1715158200,varul-atay,False
4652,12315078,2,,,EnkcsyLrc,2,3,1715145600,jin-saritas,True
4653,12315079,2,,,VRycseBod,2,3,1715159700,ounmuang-rustemova,False
4654,12315080,2,,,iRRbsMafe,2,3,1715153700,ruan-marandel,False
4655,12315081,2,,,dkddsOdPd,2,3,1715167500,safiullina-kenzhibayeva,True
4656,12315082,1,,,AuDbfEbZd,2,3,1715169300,bosaia-hoste-ferrer,False
4657,12315158,2,,,OzNlzmvd,1,3,1715171100,bladelius-durasovic,True
4658,12315159,2,,,ZaRbtjZpd,2,3,1715148000,saidizand-jianu,True
4659,12315160,2,,,CgLbsEjhk,1,3,1715157900,munkhammar-hjorth,True
4660,12315161,1,,,fiObsmZid,1,3,1715172600,saar-stanke,False
4661,12315162,1,,,beocsccmd,1,3,1715164200,hartig-heinonen,True
4662,12315163,1,,,axzcsAmvd,1,3,1715170800,nanobashvili-rivera,False
4663,12315164,1,,,boYcsKFPd,1,3,1715168700,gustafsson-alimli,True
4664,12315212,1,,,HUnbsiErd,1,3,1715144100,mester-craciun,False
4665,12315213,2,,,qhlbsPdnb,1,3,1715165100,vasilescu-szymczuch,True
4666,12315214,2,,,cAxcsEWDd,2,3,1715151000,puiac-zvonaru,True
4667,12315215,2,,,KBkdsgPrd,1,3,1715156400,oana-ionescu,False
4668,12315216,2,,,tyGbsdQGc,2,3,1715243700,djuric-srbljak,False
4669,12315217,2,,,VdecsimRo,2,3,1715157000,jurca-visscher,True
4670,12315218,2,,,KjIcaPjIc,1,3,1715147100,popa-teiusanu-popa,True
4671,12315219,1,,,NTkcdzWDd,1,3,1715156400,gae-paterno,False
4672,12315221,2,,,NiadsfPrd,2,3,1715147100,barbulescu-diaz-adrover,False
4673,12315278,1,,,CvgcsjMLc,2,3,1715167200,baroni-gima,True
4674,12315279,2,,,YWYcsedVd,2,3,1715174400,van-dyck-snitari,False
4675,12315280,2,,,CwudseMDd,2,3,1715150700,forger-papoe,False
4676,12315281,1,,,vNDbwvNrc,1,3,1715184300,andreescu-cretu,True
4677,12315282,1,,,vQacsMmEd,2,3,1715162100,turcanu-biloborodko,True
4678,12315283,2,,,JlzsQVPd,2,3,1715172000,pieleanu-dzhavakian,True
4679,12315284,2,,,rgQsvaoe,2,3,1715170800,dancu-lootsma,True
4680,12315285,2,,,DNrsseWHc,2,3,1715145300,nesterov-konov,True
4681,12315334,2,,,QqBbsGcGd,1,3,1715157000,keitel-ni-ma,True
4682,12315335,1,,,tOmbsakCc,1,3,1715169000,vanik-masic,False
4683,12315336,1,,,xDcdsztXa,1,3,1715152500,tognoni-zack,True
4684,12315337,1,,,HOfdsmjDd,1,3,1715177100,encheva-stankovic,False
4685,12315338,2,,,EkObchYad,1,3,1715156700,cherny-vukovic,False
4686,12315339,2,,,TNudsTtrd,2,3,1715166000,ioannou-lazarevic,False
4687,12315340,2,,,lracscEXc,1,3,1715172000,palecek-borodulina,False
4688,12315384,2,,,WglcsiYad,2,3,1715156100,tatu-reyngold,True
4689,12315385,1,,,GvhsEccc,2,3,1715170500,dakovic-paszek,False
4690,12315386,1,,,ViDbsxrtd,1,3,1715164800,klugman-vismane,False
4691,12315387,2,,,mqKszupc,2,3,1715175000,sato-albie,False
4692,12315388,2,,,UEddsXbpd,1,3,1715167200,quevedo-vandewinkel,False
4693,12315389,2,,,pzOcnJMFd,2,3,1715173500,roura-llaverias-ristic,True
4694,12315390,1,,,ukusUUud,2,3,1715156400,leon-werner,False
4695,12315391,2,,,JuQcsxMYc,2,3,1715160600,garcia-cid-geerlings-martinez,True
4696,12315392,1,,,CjObsnOKc,2,3,1715190000,bondarenko-hodzic,True
4697,12315393,1,,,ehiswHOc,2,3,1715185800,sauvant-buyukakcay-c,False
4698,12315404,1,,,baisTONb,2,3,1715169000,hennemann-ekshibarova,True
4699,12315405,1,,,lXHbsKGDd,2,3,1715178600,brockmann-topalova,False
4700,12315406,2,,,Mnvsylnd,2,3,1715163600,vrancken-peeters-van-uytvanck,True
4701,12315407,1,,,uZpdsEePd,1,3,1715175600,syrtveit-yesypchuk,True
4702,12315408,2,,,lLAbsqjff,1,3,1715155800,munk-mortensen-aiava,True
4703,12315409,2,,,sZFbsDTjd,1,3,1715156100,johansson-malogina,False
4704,12315410,2,,,LracseCtc,2,3,1715160300,gimbrere-herrmann,True
4705,12315536,1,,,CYxsqXpd,1,3,1715169000,pedrico-kravtsov-domingues,True
4706,12315537,1,,,YeDbiaMFb,1,3,1715146800,izquierdo-luque-kuhn,True
4707,12315538,1,,,IogscLcc,2,3,1715180400,mccormick-klizan,True
4708,12315539,2,,,JEBsFtlb,2,3,1715166300,amoros-ramos-ferreira-silva,False
4709,12315540,1,,,ZtccsXeZc,1,3,1715172300,avcibasi-royer,False
4710,12315541,2,,,YDwbskKqc,2,3,1715172300,ferrari-calzi,True
4711,12315542,2,,,AAHsMrXk,1,3,1715148900,turriziani-alvarez-gutierrez,True
4712,12315546,1,,,MwxsxgGb,1,3,1715158800,gengel-metreveli,False
4713,12315547,1,,,mKrbsPrNb,1,3,1715159100,atlangeriev-liaonenka,False
4714,12315548,2,,,lfAcsGMFy,2,3,1715152500,philippov-kimhi,True
4715,12315549,1,,,njWspDVb,1,3,1715164800,cohen-tiurnev,False
4716,12315727,1,,,OHGcjNOkd,2,3,1715244300,pace-jaskova,True
4717,12315813,1,,,uCcdsLHId,1,3,1715161800,tsirikidze-vales,True
4718,12315852,1,,,mcVosUEqd,1,3,1715247900,filip-brunold,False
4719,12315993,2,,,ClycsxbXe,2,3,1715156100,hudjec-saitoh,False
4720,12315994,2,,,IWYseQJd,2,3,1715150100,ludoski-kyratzis,False
4721,12315995,2,,,ONEsmEQd,2,3,1715154600,warik-milojevic,True
4722,12315996,2,,,Rqedsnlqd,1,3,1715145900,knezevic-butvilas,True
4723,12315997,1,,,ChEstanb,2,3,1715169600,vujic-deari,False
4724,12315998,1,,,tyLcsXbhd,1,3,1715144400,lazarov-gavrielides,False
4725,12315999,2,,,gGDlsRqed,2,3,1715152200,mikovic-juhas,True
4726,12316000,2,,,iRpcsGwgd,1,3,1715158200,kelm-markovski,True
4727,12316145,1,,,jBhsMFPd,2,3,1715155800,mpetshi-perricard-rezai,False
4728,12316146,1,,,DQZcsThwd,1,3,1715149800,lim-naef,True
4729,12316147,,,,TmnsnbR,,3,1715170200,gavrila-mladenovic,True
4730,12316148,1,,,fbncsAwpc,1,3,1715178300,martynov-makarova,True
4731,12316149,1,,,gjbdsNBmd,1,3,1715145600,mboko-lew-yan-foon,True
4732,12316150,2,,,xWBsReeb,1,3,1715185500,rame-tan,True
4733,12316151,1,,,ZSBbsEgLb,1,3,1715156700,leonard-dartron-e,True
4734,12316152,2,,,DFtsibRv,1,3,1715157300,lansere-perrin,False
4735,12316198,2,,,ChMdhfBc,2,3,1715183100,torres-murcia-fossa-huergo,False
4736,12316199,2,,,RldbsNvob,1,3,1715193000,kozarov-hinojosa-gomez,False
4737,12316222,2,,,EYQchLgd,2,3,1715180400,higuita-barraza-tona,False
4738,12316255,2,,,bePdskYmd,2,3,1715235000,bojica-bertoldo,True
4739,12316257,2,,,ieBbsjrLb,2,3,1715175900,gulin-portillo-ramirez,False
4740,12316258,2,,,OgrsyZIc,1,3,1715243400,avdeeva-barthel,True
4741,12316259,2,,,Yckbsdyfc,2,3,1715249700,erjavec-gao,False
4742,12316260,1,,,jWDcsLybd,1,3,1715241900,prozorova-struplova,True
4743,12316299,2,Q,,kIDsFyvc,2,3,1715165700,cobolli-marterer,True
4744,12316300,2,Q,,UKfsdcu,1,3,1715169000,monteiro-monfils,False
4745,12316301,1,,Q,dxAsiDdc,2,3,1715251500,passaro-rinderknech,True
4746,12316302,2,,Q,qaEbsByjc,2,3,1715169600,atmane-eubanks,True
4747,12316303,2,,Q,RwSbsBlUb,1,3,1715262300,nakashima-kecmanovic,False
4748,12316304,2,Q,,ZwusgTW,2,3,1715170800,vukic-schwartzman,True
4749,12316305,2,LL,,FRZsoavb,1,3,1715257500,moutet-safiullin,False
4750,12316307,1,,Q,oTBsmAob,1,3,1715243400,seyboth-wild-barrere,False
4751,12316308,2,,Q,cwbbseHDc,2,3,1715254200,mededovic-popyrin,True
4752,12316309,1,Q,,LOftWttb,2,3,1715255700,bergs-nadal,False
4753,12316333,2,Q,,OyUsDZfc,2,3,1715244300,cocciaretto-zarazua,True
4754,12316334,2,,Q,hcCszBZ,2,3,1715166000,dolehide-pera,True
4755,12316335,2,,Q,ittseBt,2,3,1715164500,schmiedlova-sasnovich,True
4756,12316336,1,,Q,MCvsuYJc,2,3,1715164200,fruhvirtova-townsend,False
4757,12316337,2,,Q,vPhswDnc,1,3,1715160600,fruhvirtova-maria,True
4758,12316338,1,WC,Q,LJrsfpLg,2,3,1715255100,gracheva-di-sarra,False
4759,12316339,2,Q,,NioseWZ,2,3,1715256000,masarova-begu,False
4760,12316340,2,Q,WC,JvDsLkQc,1,3,1715258100,pedone-sramkova,True
4761,12316341,1,,Q,UuqstLac,2,3,1715250600,tauson-saville,False
4762,12316343,2,,Q,APvpexcc,2,3,1715260500,volynets-wang,False
4763,12316377,1,,,OvWbvAFbd,1,3,1715172000,branc-soto,True
4764,12316379,1,Q,Q,iapsRMpb,2,3,1715249400,carle-siegemund,True
4765,12316417,1,,,cXpbsLzgd,1,3,1715181300,yamalapalli-okalova,True
4766,12316418,1,,,kNXshEBf,1,3,1715175900,mateas-krywoj,False
4767,12316419,2,,,tdZsYifv,1,3,1715203500,chang-daniel,True
4768,12316420,1,,,hWHpkdZ,2,3,1715212800,flores-von-deichmann,False
4769,12316421,1,,,pYNsCRuc,2,3,1715183100,zamarripa-rinaldo-persson,False
4770,12316422,1,,,VCgcsqbod,2,3,1715167800,urhobo-kalieva,False
4771,12316423,1,,,mvJbsFmMb,2,3,1715196300,osuigwe-kozyreva,False
4772,12316424,2,,,wigcspQad,1,3,1715215200,hovde-karatancheva,True
4773,12316425,2,,,hxOaKMO,1,3,1715189400,arconada-chang,False
4774,12316437,,,,VTFrnmH,1,3,1715187600,neffa-de-los-rios-william,True
4775,12316438,1,,,mizbsehIb,1,3,1715185200,tubello-labrana,True
4776,12316439,2,,,ohrkoZC,1,3,1715172300,estable-lizarazo,False
