,match_id,tournament_id,tournament_name,tournament_slug,tournament_unique_id,tournament_category_name,tournament_category_slug,user_count,ground_type,tennis_points,has_event_player_statistics,crowd_sourcing_enabled,has_performance_graph_feature,display_inverse_home_away_teams,priority,competition_type
17823,12373272,131085,"Constanta, Singles Main, M-ITF-ROU-04A",constanta-singles-main-m-itf-rou-04a,,ITF Men,itf-men,16,Red clay,,False,True,False,True,0,2
17824,12373273,130961,"Bol, Singles Qualifying, W-ITF-CRO-06A",bol-singles-qualifying-w-itf-cro-06a,,ITF Women,itf-women,5,Red clay,,False,False,True,True,0,2
17825,12373274,130954,"Constanta, Singles Qualifying, M-ITF-ROU-04A",constanta-singles-qualifying-m-itf-rou-04a,,ITF Men,itf-men,16,Red clay,,True,True,False,False,0,2
17826,12373275,131085,"Constanta, Singles Main, M-ITF-ROU-04A",constanta-singles-main-m-itf-rou-04a,,ITF Men,itf-men,16,Red clay,,False,True,False,True,0,2
17827,12373278,131085,"Constanta, Singles Main, M-ITF-ROU-04A",constanta-singles-main-m-itf-rou-04a,,ITF Men,itf-men,16,Red clay,,False,True,True,True,0,2
17828,12373301,130954,"Constanta, Singles Qualifying, M-ITF-ROU-04A",constanta-singles-qualifying-m-itf-rou-04a,,ITF Men,itf-men,16,Red clay,,False,True,True,True,0,2
17829,12373311,131021,"Rio Claro, Singles Qualifying, W-ITF-BRA-06A",rio-claro-singles-qualifying-w-itf-bra-06a,,ITF Women,itf-women,12,Red clay,,False,True,True,True,0,2
17830,12373316,130961,"Bol, Singles Qualifying, W-ITF-CRO-06A",bol-singles-qualifying-w-itf-cro-06a,,ITF Women,itf-women,5,Red clay,,False,False,True,True,0,2
17831,12373324,130958,"La Nucia, Singles Qualifying, M-ITF-ESP-18A",la-nucia-singles-qualifying-m-itf-esp-18a,,ITF Men,itf-men,18,Red clay,,False,False,True,False,0,2
17832,12373325,130958,"La Nucia, Singles Qualifying, M-ITF-ESP-18A",la-nucia-singles-qualifying-m-itf-esp-18a,,ITF Men,itf-men,18,Red clay,,True,False,False,False,0,2
