,match_id,city,stadium,venue_id,country
17979,12375574,Troisdorf,Show Court 2 (4),44582,Germany
17980,12375575,Troisdorf,Show Court 1 (3),44581,Germany
17981,12375576,Troisdorf,Show Court 1 (3),44581,Germany
17982,12375577,Troisdorf,M.A.R.A. Court (2),39713,Germany
17983,12375628,Vrhnika,TK Dragomer 1,44589,Slovenia
17984,12375629,Vrhnika,Court 2,44588,Slovenia
17985,12375630,Vrhnika,TK Dragomer 2,44585,Slovenia
17986,12375631,Vrhnika,Court 1,44586,Slovenia
17987,12375632,Vrhnika,TK Dragomer 1,44589,Slovenia
17988,12375633,Vrhnika,TK Dragomer 2,44585,Slovenia
17989,12375634,Vrhnika,Court 2,44588,Slovenia
17990,12375635,Vrhnika,Court 1,44586,Slovenia
17991,12375636,Vrhnika,TK Dragomer 2,44585,Slovenia
17992,12375655,Constanta,Court 4,36257,Romania
17993,12375656,Constanta,Court 5,36260,Romania
17994,12375657,Constanta,Court 3,36258,Romania
17995,12375658,Constanta,Court 5,36260,Romania
17996,12375659,Constanta,Court 5,36260,Romania
17997,12375660,Constanta,Court 4,36257,Romania
17998,12375661,Constanta,Court 3,36258,Romania
17999,12375662,Constanta,Court 4,36257,Romania
18000,12375663,Klagenfurt,Court 3,44554,Austria
18001,12375667,Otocec,Court 4,29459,Slovenia
18002,12375668,Otocec,Court 4,29459,Slovenia
18003,12375669,Otocec,Court 3,29458,Slovenia
18004,12375670,Otocec,Court 3,29458,Slovenia
18005,12375671,Otocec,Court 2,29472,Slovenia
18006,12375672,Otocec,Court 1,29457,Slovenia
18007,12375673,Otocec,Court 1,29457,Slovenia
18008,12375793,Kursumlijska Banja,Court 2,39050,Serbia
18009,12375794,Kursumlijska Banja,Court 6,39111,Serbia
18010,12375795,Kursumlijska Banja,Court 5,39046,Serbia
18011,12375796,Kursumlijska Banja,Court 2,39050,Serbia
18012,12375797,Kursumlijska Banja,Court 4,39044,Serbia
18013,12375798,Kursumlijska Banja,Court 5,39046,Serbia
18014,12375799,Kursumlijska Banja,Court 1,39048,Serbia
18015,12375801,Kursumlijska Banja,Court 4,39044,Serbia
18016,12375802,Kursumlijska Banja,Court 3,39051,Serbia
18017,12375803,Kursumlijska Banja,Court 1,39048,Serbia
18018,12375804,Kursumlijska Banja,Court 4,39044,Serbia
18019,12375805,Kursumlijska Banja,Court 3,39051,Serbia
18020,12375833,Rio Claro,Center Court,44594,Brazil
18021,12375834,Rio Claro,Court 3,44593,Brazil
18022,12375835,La Nucia,Court 2,31596,Spain
18023,12375836,La Nucia,Centre Court,31601,Spain
18024,12375837,La Nucia,Court 2,31596,Spain
18025,12375838,La Nucia,Court 1,31597,Spain
18026,12375839,La Nucia,Court 1,31597,Spain
18027,12375840,La Nucia,Court 4,31599,Spain
18028,12375841,La Nucia,Court 2,31596,Spain
18029,12375842,La Nucia,Court 5,31600,Spain
18030,12375843,La Nucia,Centre Court,31601,Spain
18031,12375844,La Nucia,Centre Court,31601,Spain
18032,12375845,La Nucia,Court 5,31600,Spain
18033,12375885,Otocec,Court 1,29457,Slovenia
18034,12376109,Rio Claro,Court 5,44597,Brazil
18035,12376132,Bol,Court 13,44576,Croatia
18036,12376133,Bol,Court 11,44515,Croatia
18037,12376134,Bol,Court 1,44518,Croatia
18038,12376135,Bol,Court 13,44576,Croatia
18039,12376136,Bol,Court 11,44515,Croatia
18040,12376139,Bol,Court 9,44512,Croatia
18041,12376140,Bol,Court 1,44518,Croatia
18042,12376141,Bol,Court 12,44575,Croatia
18043,12376221,Carnac,C#2 ORSON BAY,44561,France
18044,12376266,Santo Domingo,Stadium,19916,Dominican Republic
18045,12376268,Klagenfurt,Court 4,44550,Austria
18046,12376278,Carnac,C#2 ORSON BAY,44561,France
18047,12376330,Carnac,Central,39683,France
18048,12376339,Montemor-O-Novo,Court 1,23533,Portugal
18049,12376340,Montemor-O-Novo,Court 2,23487,Portugal
18050,12376341,Montemor-O-Novo,Court 3,23488,Portugal
18051,12376342,Montemor-O-Novo,Court 1,23533,Portugal
18052,12376343,Montemor-O-Novo,Court 2,23487,Portugal
18053,12376493,Klagenfurt,Court 5,44549,Austria
18054,12376499,Brescia,CENTER (Court 2),22007,Italy
18055,12376500,Brescia,CENTER (Court 2),22007,Italy
18056,12376501,Brescia,CENTER (Court 2),22007,Italy
18057,12376502,Brescia,Court 3,19623,Italy
18058,12376503,Brescia,Court 4,22006,Italy
18059,12376504,Brescia,Court 4,22006,Italy
18060,12376505,Brescia,Court 3,19623,Italy
18061,12376506,Klagenfurt,Court 3,44554,Austria
18062,12376507,Klagenfurt,Court 5,44549,Austria
18063,12376534,Carnac,C#2 ORSON BAY,44561,France
18064,12376732,Santo Domingo,Court 3,40143,Dominican Republic
18065,12377216,Tokyo,1,44573,Japan
18066,12377240,Changwon,Court D,21791,South Korea
18067,12346309,Paris,Court 7,21829,France
18068,12346310,Paris,Court 8,17191,France
18069,12346311,Paris,Court 4,21932,France
18070,12346312,Paris,Court 6,17170,France
18071,12346313,Paris,Court 9,21828,France
18072,12346314,Paris,Court 14,17174,France
18073,12346316,Paris,Court Suzanne Lenglen,17177,France
18074,12346318,Paris,Court 5,17190,France
18075,12346319,Paris,Court 2,17176,France
18076,12346320,Paris,Court Suzanne Lenglen,17177,France
18077,12346321,Paris,Court 10,25209,France
18078,12346322,Paris,Court  13,21830,France
18079,12346323,Paris,Court Suzanne Lenglen,17177,France
18080,12346324,Paris,Court 11,25210,France
18081,12346337,Paris,Court Philippe Chatrier,17178,France
18082,12346350,Paris,Court 6,17170,France
18083,12346356,Paris,Court Suzanne Lenglen,17177,France
18084,12346357,Paris,Court 12,21831,France
18085,12346358,Paris,Court 9,21828,France
18086,12346359,Paris,Court Philippe Chatrier,17178,France
18087,12346360,Paris,Court 11,25210,France
