,match_id,home_vote,away_vote
123,12292132,14,30
124,12292140,12,22
125,12292146,4,10
126,12292148,56,40
127,12292151,4,26
128,12292279,206,12
129,12292282,34,68
130,12292287,10,36
131,12292484,72,4
132,12292485,2,12
133,12292487,30,12
134,12292489,30,10
135,12292490,36,40
136,12292491,22,6
137,12292492,10,18
138,12292681,0,2
139,12292682,6,0
140,12292683,16,22
141,12292684,46,10
142,12292685,2,6
143,12292688,6,4
144,12292689,4,22
145,12292691,2,0
146,12292692,16,4
147,12292693,6,6
148,12292694,2,36
149,12292820,20,118
150,12292821,28,2
151,12292822,64,20
152,12292823,62,28
153,12292824,22,22
154,12292825,0,0
155,12292826,22,42
156,12292827,46,58
157,12292828,10,0
158,12292829,12,82
159,12292849,32,4
160,12292850,2,20
161,12292851,16,0
162,12292852,54,12
163,12292853,30,10
164,12292860,42,26
165,12292861,82,52
166,12292863,28,18
167,12292876,4,4
168,12292877,0,6
169,12292878,2,0
170,12292930,6,36
171,12292931,28,2
172,12292932,22,24
173,12292933,42,128
174,12292934,18,8
175,12292935,22,40
176,12292936,4,58
177,12292937,10,4
178,12292938,4,22
179,12292939,12,12
180,12292941,0,4
181,12292942,24,6
182,12292943,12,0
183,12292944,4,2
184,12292945,4,8
185,12292946,16,16
186,12292947,4,0
187,12292948,20,0
188,12293427,206,48
189,12293430,12,2
190,12293433,2,0
191,12293440,108,174
192,12293441,20,16
193,12293442,4,6
194,12293445,6,4
195,12293448,0,34
196,12293451,6,82
197,12293457,0,16
198,12293459,2,2
199,12293460,26,24
200,12293462,6,8
201,12293463,0,0
202,12293464,2,30
203,12293465,0,0
204,12293466,10,2
205,12293468,10,136
206,12293469,102,240
207,12293470,12,42
208,12293471,6,14
209,12293472,70,0
210,12293473,60,22
211,12293474,44,130
212,12293475,6,10
213,12293476,6,28
214,12293477,48,2
215,12293478,8,28
216,12293480,6,26
217,12293481,2,18
218,12293482,24,2
219,12293483,84,6
220,12293484,26,28
221,12293485,0,12
222,12293486,44,24
223,12293487,78,18
224,12293488,2,22
225,12293489,24,4
226,12293490,120,16
227,12293491,0,22
228,12293492,60,14
229,12293493,0,0
230,12293494,6,6
231,12293495,0,46
232,12293496,76,10
233,12293497,16,8
234,12293498,26,26
235,12293499,28,76
236,12293500,10,18
237,12293501,4,20
238,12293502,4,52
239,12293503,32,44
240,12293505,14,56
241,12293506,12,20
242,12293507,56,38
243,12293508,30,20
244,12293509,16,36
245,12293510,0,18
246,12293513,2,36
247,12293516,10,16
248,12293517,18,4
249,12293519,40,16
250,12293523,14,102
251,12293524,138,68
252,12293525,56,32
253,12293527,10,16
254,12293528,180,0
255,12293529,8,28
256,12293530,86,78
257,12293531,6,52
258,12293533,90,10
259,12293534,34,20
260,12293535,106,72
261,12293536,10,10
262,12293537,26,36
263,12293538,14,6
264,12293539,76,24
265,12293540,6,16
266,12293541,28,12
267,12293542,24,42
268,12293543,8,14
269,12293544,12,24
270,12293545,70,4
271,12293558,430,44
272,12293559,76,834
273,12293560,124,296
274,12293561,130,22
275,12293562,72,336
276,12293563,42,464
277,12293564,194,8
278,12293643,22,60
279,12293644,150,4
280,12293645,12,30
281,12293649,4,48
282,12293650,78,4
283,12293651,8,120
284,12293652,74,8
285,12293653,106,12
286,12293656,12,34
287,12293657,106,18
288,12293726,70,14
289,12293727,2,0
290,12293728,2,70
291,12293729,16,10
292,12293730,0,26
293,12293731,4,12
294,12293732,36,2
295,12293733,22,10
296,12293734,38,2
297,12293735,8,50
298,12293736,24,12
299,12293737,8,46
300,12293738,8,4
301,12293739,40,2
302,12293740,14,106
303,12293741,0,40
304,12293743,10,50
305,12293745,38,4
306,12293747,12,14
307,12293748,18,72
308,12293750,18,32
309,12293751,30,38
310,12293756,70,20
311,12293757,48,40
312,12293758,44,14
313,12293759,2,36
314,12293760,20,84
315,12293761,20,26
316,12294022,300,204
317,12294023,82,190
318,12294024,218,48
319,12294025,40,80
320,12294026,50,136
321,12294027,26,50
322,12294068,44,150
323,12295042,2,6
324,12295043,4,12
325,12295044,14,14
326,12295045,8,24
327,12295046,34,6
328,12295047,0,30
329,12295048,6,28
330,12295101,2,46
331,12295102,18,8
332,12295103,6,40
333,12295104,14,132
334,12295105,44,52
335,12295106,96,0
336,12295107,6,30
337,12295118,0,10
338,12295121,48,20
339,12295130,10,34
340,12295143,42,116
341,12295144,6,32
342,12295145,8,72
343,12295148,2,12
344,12295149,8,4
345,12295150,4,0
346,12295151,4,14
347,12295152,10,36
348,12295153,10,2
349,12295154,0,42
350,12295155,10,14
351,12295156,16,32
352,12295157,2,40
353,12295158,2,60
354,12295159,10,48
355,12295160,30,16
356,12295161,44,18
357,12295162,20,22
358,12295163,56,2
359,12295164,0,58
360,12295165,74,0
361,12295172,30,2
362,12295181,14,20
363,12295217,16,10
364,12295218,28,2
365,12295219,12,2
366,12295220,14,8
367,12295221,2,20
368,12295222,28,4
369,12295223,22,2
370,12295227,22,10
371,12295240,32,28
372,12295300,38,14
373,12295301,24,22
374,12295302,4,24
375,12295303,16,22
376,12295304,6,48
377,12295305,0,16
378,12295306,24,24
379,12295352,58,86
380,12295353,110,6
381,12295369,68,74
382,12295415,34,8
383,12295427,60,0
384,12295428,4,48
385,12295429,0,14
386,12295430,88,28
387,12295431,24,4
388,12295432,4,10
389,12295433,34,8
390,12295434,114,26
391,12295435,30,14
392,12295487,26,2
393,12295488,26,10
394,12295489,14,8
395,12295490,10,30
396,12295491,16,40
397,12295492,12,10
398,12295493,6,50
399,12295516,10,10
400,12295517,18,42
401,12295525,16,52
402,12295535,72,0
403,12295538,0,0
404,12295539,18,6
405,12295550,34,4
406,12295551,28,32
407,12295552,16,30
408,12295553,16,0
409,12295554,6,26
410,12295555,0,0
411,12295556,74,16
412,12295557,6,0
413,12295558,36,18
414,12295588,28,84
415,12295590,868,782
416,12295591,210,206
417,12295592,688,1694
418,12295593,678,524
419,12295614,352,40
420,12295719,136,578
421,12295720,602,584
422,12295722,262,68
423,12295735,58,6
424,12295809,0,0
425,12295812,2,66
426,12295817,0,64
427,12295820,0,4
428,12295821,20,0
429,12295822,6,40
430,12295823,14,16
431,12295824,24,38
432,12295825,18,62
433,12295826,8,54
434,12295831,30,0
435,12295832,8,8
436,12295833,20,44
437,12295834,8,2
438,12295835,18,24
